DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
12/23/2010,,SJS-A,BOS-A,ATL-H,FLA-H,MON-H,VAN-H,DAL-A,,MIN-H,CGY-H,STL-A,LAK-A,BUF-A,EDM-H,COL-A,CAR-A,NYI-H,OTT-H,NJD-A,TBL-H,NSH-A,,WSH-A,ARI-H,DET-H,NYR-A,,CBJ-A,PIT-H
12/24/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2010,LAK-A,DAL-A,TBL-H,,,WSH-H,CHI-A,,CBJ-H,,ARI-H,MIN-A,VAN-A,,ANH-H,DET-H,NYI-A,TOR-H,STL-A,MON-H,,PIT-H,,OTT-A,,NSH-H,ATL-A,NJD-A,EDM-H,CAR-A
12/27/2010,,,,FLA-A,CGY-A,,MIN-H,BUF-H,,DET-H,,COL-A,,BOS-H,SJS-A,CBJ-A,,,,NYR-A,NYI-H,,,,LAK-H,,,,,
12/28/2010,ARI-A,ANH-H,PIT-A,TBL-A,EDM-A,TOR-A,,,STL-A,,NSH-A,,BUF-H,,,,WSH-A,,DAL-H,,,,VAN-A,ATL-H,,CHI-H,BOS-H,CAR-H,PHI-H,MON-H
12/29/2010,,LAK-H,,,,OTT-A,,,,,DET-H,DAL-A,,,ARI-A,SJS-H,,NYR-H,,PIT-H,NJD-A,CAR-H,,NYI-A,MIN-A,,,,,
12/30/2010,,,BOS-H,ATL-A,,,TOR-A,,SJS-H,EDM-A,,,COL-H,,PHI-H,,TBL-A,,,,,,LAK-A,,CHI-A,,MON-H,CBJ-H,,
12/31/2010,PHI-H,STL-A,NJD-A,,,,OTT-H,COL-H,,CGY-A,VAN-H,NYI-H,,MON-H,,NSH-H,FLA-A,ATL-H,MIN-A,DET-A,,CBJ-A,ANH-A,,,ARI-H,,,DAL-A,
1/1/2011,,,,BUF-A,BOS-H,NJD-H,,EDM-A,,,,,CGY-H,,SJS-H,,,CAR-A,,,TBL-A,TOR-H,,WSH-H,LAK-A,,NYR-H,OTT-A,,PIT-A
1/2/2011,CHI-H,MIN-A,MON-A,,,,NSH-A,,ANH-A,VAN-H,STL-A,PHI-H,,NYR-H,,ARI-H,ATL-H,,CBJ-H,,FLA-A,,DET-A,,,DAL-H,,,COL-A,
1/3/2011,,,,TOR-A,,FLA-H,,NYI-H,LAK-A,,,,,CAR-A,CHI-H,,,,,CGY-A,,,,,VAN-H,,,BOS-H,SJS-A,
1/4/2011,,CBJ-H,,,COL-A,,ARI-A,,,BUF-H,,EDM-A,DET-H,,,NJD-A,,MIN-H,,,,,,,,,WSH-A,,,TBL-H
1/5/2011,NSH-H,,FLA-A,,,NYR-A,,VAN-A,DAL-H,,CHI-A,,,ATL-H,,,,,ANH-A,,CAR-H,,,TBL-H,,,PIT-A,,CGY-H,
1/6/2011,,COL-A,,MIN-H,SJS-A,,,,,ARI-H,,,NYI-H,,NSH-H,BOS-A,PIT-H,PHI-H,LAK-A,EDM-A,,,NJD-A,MON-A,BUF-H,TOR-A,,STL-H,,
1/7/2011,CBJ-H,,TOR-H,,,FLA-A,ANH-A,DET-H,OTT-H,,NYR-H,CGY-A,VAN-A,CAR-H,,,,,,,DAL-A,CHI-A,,,,,,ATL-A,EDM-H,
1/8/2011,,BUF-H,,MON-A,ARI-A,,LAK-A,,,NYI-H,,VAN-A,,WSH-A,CBJ-H,PIT-A,BOS-H,PHI-A,SJS-A,COL-A,STL-A,TBL-H,NJD-H,MIN-H,NSH-H,NYR-H,OTT-A,,DET-H,FLA-H
1/9/2011,SJS-H,,CAR-A,,,ATL-H,,,NYI-H,,MIN-A,,,,,DAL-H,,TBL-H,,CHI-A,,,,,ANH-A,,NJD-A,,,
1/10/2011,,STL-A,,PIT-A,,,,,,DET-H,,COL-A,,,TOR-H,,,,,,,,,BOS-H,,ARI-H,,LAK-A,,
1/11/2011,,CBJ-A,,OTT-H,PHI-H,CGY-H,ARI-H,CAR-A,,,EDM-H,,DAL-A,WSH-H,,NSH-A,NYR-A,,MIN-H,VAN-H,MON-H,BOS-A,BUF-A,,TOR-H,,,SJS-A,NYI-A,FLA-A
1/12/2011,STL-H,,,,,,,,COL-H,CHI-A,,,,,,,PIT-H,,,,,,,MON-A,,ANH-A,WSH-H,,,TBL-A
1/13/2011,,TOR-H,,PHI-H,CAR-H,BUF-A,,,,,,,SJS-A,NSH-H,STL-H,,,,FLA-A,OTT-H,VAN-H,NYI-A,BOS-A,,EDM-H,LAK-A,,ARI-A,NYR-A,
1/14/2011,,,PHI-H,,,,DET-H,OTT-A,,MIN-A,,CBJ-A,,,,COL-H,,TBL-A,,,,CGY-H,ATL-A,,,,NJD-H,,WSH-A,VAN-H
1/15/2011,ARI-A,ANH-H,DAL-A,PIT-H,NYI-A,TBL-H,DET-A,TOR-A,NSH-A,,ATL-H,CBJ-H,LAK-A,NJD-H,EDM-H,,NYR-H,FLA-A,CHI-H,BUF-H,MON-A,,,BOS-A,STL-H,SJS-A,CAR-A,CGY-H,,
1/16/2011,EDM-H,,,,,,,,NSH-H,,,,ANH-A,,,VAN-H,,,CHI-A,,PHI-H,WSH-A,NYR-A,,,,,,MIN-A,OTT-H
1/17/2011,,SJS-H,FLA-A,CAR-H,,BOS-A,,MON-A,,,LAK-H,,,ATL-H,DAL-A,,CGY-H,NYI-A,,NJD-H,,,,,ARI-A,,,,,
1/18/2011,OTT-A,NSH-H,,CAR-A,MON-H,BOS-H,TBL-A,,,VAN-H,,PIT-A,MIN-H,,STL-A,EDM-A,BUF-A,,ARI-A,,,ANH-H,WSH-H,DET-H,,LAK-H,CBJ-H,,COL-A,PHI-A
