DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CJB,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
1/9/2007,NSH-A,DAL-A,MON-A,OTT-A,,TOR-A,STL-H,MIN-H,,DET-H,ARI-H,COL-A,,,,CGY-A,ATL-H,,ANH-H,NYR-A,NYI-H,BOS-H,WSH-A,TBL-A,,CBJ-A,PIT-H,CAR-H,,PHI-H
1/10/2007,,,,,CHI-A,,,,BUF-H,,,,SJS-A,PIT-H,,,,STL-H,,,,,,FLA-A,EDM-H,NJD-A,,,,
1/11/2007,DAL-A,DET-H,,NYI-H,TOR-H,FLA-H,,COL-A,,CGY-H,ANH-H,ARI-A,,CAR-A,SJS-H,VAN-A,PHI-A,,,BOS-A,OTT-H,NYR-A,MON-H,,LAK-A,,WSH-H,BUF-A,MIN-H,TBL-A
1/12/2007,,,NJD-A,,,,NSH-A,,,,,,MIN-H,,,EDM-A,,ATL-H,CBJ-H,,,,,,,,,,,
1/13/2007,COL-H,SJS-H,CAR-A,NYR-A,TBL-H,ATL-H,NSH-H,EDM-H,DET-A,ANH-A,,CHI-H,CGY-A,WSH-H,STL-A,,OTT-A,NYI-A,CBJ-A,NJD-H,BOS-H,MON-H,PIT-H,PHI-A,ARI-A,LAK-H,BUF-A,VAN-H,TOR-A,FLA-A
1/14/2007,,,,,,,,,MIN-H,,,,,,,CHI-A,,,,,,,,,,,,,,
1/15/2007,,STL-H,,BUF-H,BOS-A,,,NSH-A,,SJS-A,LAK-H,MON-H,,,DAL-A,,DET-A,,CGY-H,TBL-H,,,,,COL-H,ARI-A,NYI-A,,,
1/16/2007,STL-H,,LAK-H,,,FLA-A,CHI-A,,CBJ-H,,,,MIN-A,CAR-H,ATL-A,EDM-H,VAN-H,NYR-H,,PIT-A,NJD-A,WSH-H,,NYI-H,,ANH-A,TOR-H,TBL-A,MON-A,OTT-A
1/17/2007,,COL-A,,BUF-A,BOS-H,,,DAL-A,,ARI-H,CGY-H,NSH-H,,,,,,,DET-A,,,,,,,,,,,
1/18/2007,EDM-A,SJS-A,MON-H,PIT-H,,WSH-H,NSH-A,,,,,,ANH-H,TOR-H,STL-H,,ATL-A,TBL-H,CBJ-H,PHI-A,,VAN-H,NYI-H,BOS-A,ARI-H,LAK-A,NJD-A,FLA-A,OTT-A,CAR-A
1/19/2007,CGY-A,,,,VAN-H,,DET-H,ANH-H,MIN-H,,,CBJ-A,,,,CHI-A,,,,,,,,,,,,,BUF-A,
1/20/2007,,LAK-A,NYR-A,OTT-H,MON-A,TBL-H,,EDM-A,NSH-A,DET-H,MIN-A,COL-A,CGY-H,WSH-A,ARI-H,DAL-H,BUF-H,PHI-H,CHI-H,,ATL-H,BOS-A,NJD-A,TOR-H,STL-H,SJS-A,CAR-A,PIT-A,,FLA-H
1/21/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2007,,COL-A,NYI-H,,CBJ-A,WSH-H,BUF-H,MIN-A,NSH-H,ARI-H,PIT-H,STL-A,SJS-H,,VAN-A,CGY-H,,TBL-A,CHI-A,ATL-A,,,,DAL-A,EDM-A,DET-H,NJD-H,,LAK-H,CAR-A
1/27/2007,,PIT-H,,OTT-A,NYI-A,WSH-A,MIN-H,,,,,,LAK-H,NJD-H,EDM-A,CBJ-A,TOR-A,FLA-A,STL-A,BUF-H,PHI-A,BOS-H,NYR-H,ARI-A,,NSH-H,,MON-H,,CAR-H
1/28/2007,DAL-H,,PHI-H,,,,,CHI-A,CGY-H,DET-A,ANH-A,COL-H,,,,,,,,,,,ATL-A,,VAN-A,,,,SJS-H,
1/29/2007,,,,NYR-H,,,,,,,,,,,,,OTT-H,,,,BOS-A,MON-A,,,,,,,,
1/30/2007,,,NJD-H,BUF-A,BOS-H,TOR-H,VAN-A,LAK-H,,NSH-H,SJS-A,NYI-A,,PIT-A,CGY-A,STL-A,,ATL-A,COL-A,DET-H,,WSH-H,TBL-H,FLA-H,DAL-H,MIN-H,PHI-A,CAR-A,CBJ-H,OTT-A
1/31/2007,ARI-H,ANH-A,,,,,EDM-A,,,,,,CBJ-H,,,,,,,,TOR-H,,,,,,,NYR-A,,
2/1/2007,,NSH-H,NYI-H,BUF-H,BOS-A,TBL-H,,,LAK-A,MIN-H,SJS-A,,VAN-A,WSH-H,CHI-H,COL-A,PIT-A,PHI-A,ARI-A,ATL-A,,,NJD-H,MON-H,DAL-H,,CAR-A,,EDM-H,FLA-A
2/2/2007,,,,,,,CGY-A,CBJ-H,,,,STL-H,,,,,,,,,,,,,,DET-A,,,,
2/3/2007,NSH-A,MIN-H,PHI-H,CAR-A,NJD-A,BOS-H,,VAN-H,SJS-A,EDM-H,STL-A,,COL-A,LAK-H,FLA-A,ARI-A,NYI-H,BUF-H,ANH-H,MON-A,TBL-A,TOR-H,ATL-A,WSH-H,CHI-H,DAL-H,NYR-H,OTT-A,CGY-A,PIT-A
2/4/2007,,,,,,,,,,,,,,,,,PIT-H,,,WSH-A,,,,MON-A,,,,,,NYI-H
2/5/2007,,,,,,,,,,,,NYR-A,,,,,,,,,DET-H,,,,,,,,,
2/6/2007,SJS-A,CBJ-A,BUF-H,WSH-A,ATL-A,MON-A,ARI-H,CHI-H,CGY-A,FLA-H,MIN-H,,VAN-H,COL-A,TBL-A,DAL-A,CAR-H,NYR-H,PIT-A,,NJD-A,,,NSH-H,ANH-H,TOR-H,LAK-H,STL-A,EDM-A,BOS-H
2/7/2007,SJS-H,DET-A,,,OTT-H,,,,VAN-A,,,ARI-H,,,,,,,,PHI-H,,BUF-A,NYI-A,,ANH-A,,,,CHI-H,
2/8/2007,,,COL-A,CAR-H,,BOS-A,CGY-H,CBJ-A,,ATL-H,,STL-A,,MIN-A,WSH-A,FLA-H,OTT-A,NYI-H,TOR-H,NJD-A,,MON-H,PIT-H,PHI-A,,DET-H,,NSH-A,,LAK-H
2/9/2007,,,,,,,,,EDM-A,,,,CHI-H,,,,,,,,TBL-H,,,,,,NYR-A,,,
2/10/2007,DAL-A,FLA-A,VAN-A,NYI-H,CGY-H,MIN-A,,BUF-A,,,ANH-H,,,ARI-H,NSH-A,CAR-H,OTT-H,,LAK-H,BOS-A,WSH-A,MON-A,STL-H,TOR-A,,PHI-A,,PIT-H,ATL-H,NYR-H
2/11/2007,,,EDM-A,,,,CHI-H,DET-A,CBJ-A,DAL-A,COL-H,CGY-H,ATL-H,,,,,TBL-H,,,,,,,,,NJD-A,,,
2/12/2007,,,,,,,,,,,,PHI-A,,,,,,,,,,,DET-H,,,,,,,
