DATE,VISITING TEAM,HOME TEAM,TIME
"TUE OCT 29, 2013",WINNIPEG,ST. LOUIS,8:00 PM ET
,,,
"TUE OCT 29, 2013",TORONTO,EDMONTON,9:00 PM ET
,,,
"TUE OCT 29, 2013",LOS ANGELES,PHOENIX,10:00 PM ET
,,,
"WED OCT 30, 2013",BOSTON,PITTSBURGH,8:00 PM ET
,,,
"WED OCT 30, 2013",TORONTO,CALGARY,8:00 PM ET
,,,
"WED OCT 30, 2013",DETROIT,VANCOUVER,10:30 PM ET
,,,
"WED OCT 30, 2013",SAN JOSE,LOS ANGELES,10:30 PM ET
,,,
"THU OCT 31, 2013",ANAHEIM,BOSTON,7:00 PM ET
,,,
"THU OCT 31, 2013",BUFFALO,NY RANGERS,7:00 PM ET
,,,
"THU OCT 31, 2013",NASHVILLE,PHOENIX,10:00 PM ET
,,,
"FRI NOV 1, 2013",WASHINGTON,PHILADELPHIA,7:00 PM ET
,,,
"FRI NOV 1, 2013",COLUMBUS,PITTSBURGH,7:00 PM ET
,,,
"FRI NOV 1, 2013",TAMPA BAY,CAROLINA,7:00 PM ET
,,,
"FRI NOV 1, 2013",NY ISLANDERS,OTTAWA,7:30 PM ET
,,,
"FRI NOV 1, 2013",ST. LOUIS,FLORIDA,7:30 PM ET
,,,
"FRI NOV 1, 2013",MONTREAL,MINNESOTA,8:00 PM ET
,,,
"FRI NOV 1, 2013",COLORADO,DALLAS,8:30 PM ET
,,,
"FRI NOV 1, 2013",DETROIT,CALGARY,9:00 PM ET
,,,
"SAT NOV 2, 2013",CHICAGO,WINNIPEG,3:00 PM ET
,,,
"SAT NOV 2, 2013",ANAHEIM,BUFFALO,7:00 PM ET
,,,
"SAT NOV 2, 2013",ST. LOUIS,TAMPA BAY,7:00 PM ET
,,,
"SAT NOV 2, 2013",PHILADELPHIA,NEW JERSEY,7:00 PM ET
,,,
"SAT NOV 2, 2013",BOSTON,NY ISLANDERS,7:00 PM ET
,,,
"SAT NOV 2, 2013",CAROLINA,NY RANGERS,7:00 PM ET
,,,
"SAT NOV 2, 2013",FLORIDA,WASHINGTON,7:00 PM ET
,,,
"SAT NOV 2, 2013",PITTSBURGH,COLUMBUS,7:00 PM ET
,,,
"SAT NOV 2, 2013",TORONTO,VANCOUVER,7:00 PM ET
,,,
"SAT NOV 2, 2013",MONTREAL,COLORADO,10:00 PM ET
,,,
"SAT NOV 2, 2013",DETROIT,EDMONTON,10:00 PM ET
,,,
