DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
12/9/2008,,,,,,,,MON-A,,LAK-H,,,,,COL-A,,CGY-H,,VAN-H,PHI-A,,,NYI-H,,,,,,NSH-A,
12/10/2008,STL-H,DAL-A,NYR-H,WSH-A,TBL-H,,,DET-A,OTT-H,,ARI-H,CGY-H,,,,,,PIT-H,,,ATL-A,CHI-A,,NJD-A,,ANH-A,BUF-A,,,BOS-H
12/11/2008,SJS-A,MIN-H,,,,PHI-A,NSH-H,,,,,,FLA-H,EDM-A,STL-H,ARI-A,TBL-H,,CBJ-A,PIT-A,,,CAR-H,NYI-H,ANH-H,LAK-A,MON-A,,,
12/12/2008,,,BOS-H,ATL-A,TOR-H,,,FLA-H,COL-A,CHI-H,DET-H,DAL-A,,CGY-A,,,,NYR-H,,,NJD-A,WSH-A,,,,,,BUF-A,,OTT-H
12/13/2008,,DET-H,BOS-A,ATL-H,NJD-A,NYR-A,NYI-H,,,,NSH-A,ARI-A,VAN-H,,MIN-H,LAK-A,WSH-H,BUF-H,DAL-H,CBJ-A,CAR-H,TBL-H,PIT-H,PHI-A,STL-H,SJS-A,OTT-A,,EDM-A,MON-A
12/14/2008,MIN-H,,,,,,CHI-A,,CBJ-H,,,,,VAN-A,,ANH-A,,,,,,,,,,,,,FLA-H,
12/15/2008,,,,,,,,,,DET-A,,COL-H,,,SJS-H,,,,,,,,,,LAK-A,,,,,
12/16/2008,NYR-H,DAL-A,OTT-A,,,MON-H,,STL-A,EDM-A,PHI-A,ARI-H,,CHI-H,,,,CAR-A,TOR-A,,WSH-H,ANH-A,ATL-H,COL-H,,,CGY-H,,NJD-H,,NYI-A
12/17/2008,,,,,NJD-H,,SJS-H,MIN-A,,,,,VAN-A,,NYR-H,CGY-H,,BUF-A,,,LAK-A,,,,CBJ-A,,,,EDM-H,
12/18/2008,,NSH-H,PIT-H,TOR-H,,FLA-H,DAL-A,,,TBL-A,CBJ-H,SJS-H,,CAR-A,,,PHI-H,,ARI-A,,,,MON-A,ATL-A,DET-A,WSH-A,COL-H,BOS-A,,STL-H
12/19/2008,EDM-A,,,,LAK-H,,,CHI-H,CGY-A,,,,ANH-H,,BUF-A,NYI-H,,OTT-H,,MIN-A,,NJD-A,,,,,,,,
12/20/2008,,CBJ-H,TBL-H,CAR-H,MON-A,BOS-A,ARI-A,,VAN-A,,OTT-A,LAK-H,,,DET-A,STL-A,BUF-H,,NYI-H,NSH-A,SJS-A,DAL-H,WSH-H,TOR-H,NYR-H,MIN-H,ATL-A,PIT-A,CHI-H,PHI-A
12/21/2008,,,,STL-A,,MON-A,,,,FLA-A,,,,COL-H,,,CAR-H,PHI-H,,,,,NJD-A,,,BOS-H,,,,
12/22/2008,VAN-A,EDM-A,TOR-H,,PIT-H,,,,,,,,ARI-H,,,,,,,,,,,BUF-A,,,,ATL-A,ANH-H,
12/23/2008,CGY-A,COL-A,NYI-A,NJD-A,,MIN-A,LAK-H,ANH-H,,ARI-H,TOR-A,STL-H,,NSH-H,CBJ-A,CAR-H,,BOS-H,FLA-A,ATL-H,WSH-H,PHI-A,OTT-H,TBL-H,VAN-H,DET-A,PIT-A,DAL-H,SJS-A,NYR-A
12/24/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2008,,LAK-A,CAR-H,,WSH-A,ATL-A,,,PHI-H,,,NSH-A,VAN-A,TBL-H,ARI-H,,,PIT-H,DET-H,TOR-H,,,CHI-A,NJD-A,,,FLA-A,NYI-A,EDM-H,BUF-H
12/27/2008,DAL-A,LAK-H,,CAR-A,NYI-H,BOS-H,PHI-H,OTT-H,,DET-H,ANH-H,COL-A,,TBL-A,ARI-A,,PIT-A,NYR-A,,BUF-A,NJD-H,CGY-A,CBJ-A,MON-H,STL-A,SJS-H,FLA-H,,,
12/28/2008,STL-A,,BOS-H,ATL-A,,,,,MIN-A,,,,NSH-H,,,CHI-H,,,EDM-A,,,VAN-A,,,,ANH-H,,WSH-A,OTT-H,TOR-H
12/29/2008,,,,,,,LAK-A,MIN-H,,NSH-H,SJS-H,,,MON-H,CBJ-H,CGY-A,FLA-A,,COL-A,NYR-A,NYI-H,,,,DAL-A,,,,,
12/30/2008,,,TOR-A,PIT-A,WSH-H,,,,DET-A,,,CHI-H,OTT-H,,,,TBL-A,STL-A,,,,EDM-A,VAN-A,BOS-H,,NJD-H,MON-H,ATL-H,PHI-H,BUF-A
12/31/2008,CBJ-H,COL-H,CAR-A,,,ATL-H,ANH-A,EDM-H,,ARI-A,NJD-H,,CGY-A,NYI-A,,SJS-H,,DAL-A,,FLA-H,,,,,MIN-A,,,,,
1/1/2009,,,,PIT-H,TOR-A,,,,DET-H,,,CHI-A,,,,,,,VAN-H,,,,,BOS-A,,,WSH-A,BUF-H,NSH-A,TBL-H
1/2/2009,PHI-H,NYI-H,VAN-H,,,STL-H,COL-A,,,CBJ-H,,,,,,,NJD-A,MON-H,,ARI-A,,,ANH-A,,,CAR-A,,,ATL-A,
1/3/2009,,,,BUF-H,BOS-A,TBL-A,STL-A,NSH-A,,,EDM-A,MIN-A,DAL-H,PIT-A,PHI-H,DET-H,,,CGY-H,SJS-A,WSH-A,TOR-A,LAK-A,FLA-H,NYI-H,CBJ-H,CAR-H,OTT-H,,NYR-H
1/4/2009,ARI-H,ANH-A,TBL-H,,,,,CHI-A,CGY-H,MIN-H,VAN-A,,,MON-A,,COL-A,FLA-H,OTT-H,,,,NJD-A,,,,,ATL-A,,DAL-H,
1/5/2009,,,,,,,,,,,,,NYI-H,,,,,,,EDM-A,PIT-H,,,NYR-A,,,,,,
1/6/2009,LAK-H,CHI-H,PIT-A,MIN-H,OTT-H,NJD-H,DET-A,SJS-H,ARI-A,NSH-A,,CBJ-H,,TOR-A,ANH-A,BOS-A,,CAR-A,COL-H,,,BUF-A,WSH-A,ATL-H,CGY-A,,,FLA-H,,PHI-H
1/7/2009,,,,,,,,,,,,,VAN-H,,,,NYR-A,,,,MON-H,,,,,,,,EDM-A,
