DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
12/1/2011,,WPG-A,,,NYR-H,CGY-A,CBJ-H,,,OTT-H,,,LAK-A,FLA-H,,SJS-A,,VAN-A,,CAR-A,DAL-A,,WSH-A,MON-H,,,,NSH-H,ARI-H,PIT-H
12/2/2011,PHI-H,,,DET-H,,EDM-A,,NYI-H,STL-H,,BUF-A,CBJ-H,,,NJD-H,,MIN-A,,CHI-A,,,ANH-A,,,COL-A,,,,,
12/3/2011,,PHI-H,TOR-H,NSH-A,PIT-H,,EDM-A,STL-A,,NYI-H,,CGY-H,SJS-A,MON-H,,LAK-A,WPG-A,BUF-H,DAL-A,TBL-A,WSH-A,ARI-A,CAR-A,FLA-H,CHI-H,NYR-H,BOS-A,,NJD-H,OTT-H
12/4/2011,MIN-H,,,,,,VAN-A,,DET-H,,COL-A,,,,ANH-A,,,,,,,,,,,,,CGY-H,,
12/5/2011,,CHI-A,PIT-A,,,,,ARI-H,,,,,WSH-H,,,,,,,TOR-H,TBL-H,,BOS-H,,,OTT-A,NYR-A,,,FLA-A
12/6/2011,LAK-H,NSH-A,WPG-A,,CGY-A,MON-A,CAR-H,,VAN-A,,STL-A,,,ANH-A,SJS-A,CBJ-H,TOR-A,ARI-H,TBL-H,,,,,MIN-H,DET-H,NYI-A,NJD-H,COL-H,BOS-H,
12/7/2011,,,,PHI-H,EDM-A,,,,,,,CAR-H,,,,,,,,,WSH-H,BUF-A,,,,,,,,OTT-A
12/8/2011,STL-A,DET-A,FLA-H,,,NSH-H,COL-H,NYI-A,CGY-A,SJS-A,ARI-H,,BOS-A,MIN-H,LAK-A,VAN-H,OTT-H,CBJ-A,CHI-H,TBL-H,NJD-A,PIT-H,PHI-A,DAL-H,ANH-H,NYR-A,,MON-A,,
12/9/2011,,,,FLA-H,WPG-A,,,,EDM-A,,,COL-H,BUF-A,,,,,,,,,,,,,,WSH-A,,CAR-H,TOR-H
12/10/2011,NSH-A,MIN-H,CBJ-A,NYR-H,,BOS-H,EDM-H,,,LAK-A,WPG-H,CGY-A,,DAL-H,ARI-A,NJD-A,MON-H,ANH-H,PIT-H,BUF-A,VAN-H,TBL-H,NYI-A,STL-A,SJS-H,PHI-A,,OTT-A,DET-A,
12/11/2011,,,,,,,,SJS-H,,,,,NYR-A,,,,,,,FLA-H,,,,CHI-A,,,,,,
12/12/2011,,,,,,,,,,,,,,,,,TBL-A,,,,,,,,,NJD-H,,,,
12/13/2011,,,LAK-H,OTT-H,TOR-A,VAN-H,NSH-A,,SJS-H,NYR-A,PIT-A,,NJD-H,BOS-A,WPG-A,NYI-H,FLA-A,CGY-H,MON-A,DAL-H,BUF-A,WSH-A,DET-H,COL-A,,,CAR-H,CBJ-A,MIN-H,PHI-H
12/14/2011,ARI-H,ANH-A,OTT-A,,,,,MIN-A,,,,,,,CHI-H,,,,,,BOS-H,,,,,,,,,
12/15/2011,,EDM-H,,,VAN-H,LAK-H,TBL-A,,SJS-A,NYI-A,NSH-A,ARI-A,,CBJ-A,,PHI-H,,DET-H,DAL-H,STL-A,,MON-A,,COL-H,NYR-H,CGY-H,,CAR-A,WSH-H,WPG-A
