HOME,AWAY,DATE,TIME (ET)
CAR,PIT,"DEC 3, 2011",7:00 PM
WPG,NJD,"DEC 3, 2011",7:00 PM
TBL,NYR,"DEC 3, 2011",7:00 PM
STL,CHI,"DEC 3, 2011",8:00 PM
NSH,BUF,"DEC 3, 2011",8:00 PM
ARI,PHI,"DEC 3, 2011",8:00 PM
DAL,NYI,"DEC 3, 2011",8:30 PM
EDM,CGY,"DEC 3, 2011",10:00 PM
SJS,FLA,"DEC 3, 2011",10:30 PM
COL,DET,"DEC 4, 2011",8:00 PM
ANH,MIN,"DEC 4, 2011",8:00 PM
VAN,CGY,"DEC 4, 2011",9:00 PM
NYR,TOR,"DEC 5, 2011",7:00 PM
PIT,BOS,"DEC 5, 2011",7:00 PM
OTT,TBL,"DEC 5, 2011",7:30 PM
FLA,WSH,"DEC 5, 2011",7:30 PM
CHI,ARI,"DEC 5, 2011",8:00 PM
TOR,NJD,"DEC 6, 2011",7:00 PM
NYI,TBL,"DEC 6, 2011",7:00 PM
MON,CBJ,"DEC 6, 2011",7:30 PM
STL,DET,"DEC 6, 2011",7:30 PM
NSH,ARI,"DEC 6, 2011",8:00 PM
WPG,BOS,"DEC 6, 2011",8:30 PM
CGY,CAR,"DEC 6, 2011",9:00 PM
VAN,COL,"DEC 6, 2011",10:00 PM
ANH,LAK,"DEC 6, 2011",10:00 PM
SJS,MIN,"DEC 6, 2011",10:30 PM
OTT,WSH,"DEC 7, 2011",7:00 PM
BUF,PHI,"DEC 7, 2011",7:30 PM
EDM,CAR,"DEC 7, 2011",9:30 PM
BOS,FLA,"DEC 8, 2011",7:00 PM
NJD,OTT,"DEC 8, 2011",7:00 PM
NYI,CHI,"DEC 8, 2011",7:00 PM
NYR,TBL,"DEC 8, 2011",7:00 PM
PHI,PIT,"DEC 8, 2011",7:00 PM
CBJ,NSH,"DEC 8, 2011",7:00 PM
MON,VAN,"DEC 8, 2011",7:30 PM
DET,ARI,"DEC 8, 2011",7:30 PM
STL,ANH,"DEC 8, 2011",8:00 PM
CGY,COL,"DEC 8, 2011",9:00 PM
LAK,MIN,"DEC 8, 2011",10:30 PM
SJS,DAL,"DEC 8, 2011",10:30 PM
WSH,TOR,"DEC 9, 2011",7:00 PM
BUF,FLA,"DEC 9, 2011",7:30 PM
WPG,CAR,"DEC 9, 2011",8:30 PM
EDM,COL,"DEC 9, 2011",9:30 PM
NJD,MON,"DEC 10, 2011",1:00 PM
BUF,NYR,"DEC 10, 2011",7:00 PM
OTT,VAN,"DEC 10, 2011",7:00 PM
NYI,PIT,"DEC 10, 2011",7:00 PM
PHI,TBL,"DEC 10, 2011",7:00 PM
DET,WPG,"DEC 10, 2011",7:00 PM
CBJ,BOS,"DEC 10, 2011",7:00 PM
STL,SJS,"DEC 10, 2011",8:00 PM
NSH,ANH,"DEC 10, 2011",8:00 PM
ARI,MIN,"DEC 10, 2011",8:00 PM
CGY,EDM,"DEC 10, 2011",10:00 PM
LAK,DAL,"DEC 10, 2011",10:30 PM
CHI,SJS,"DEC 11, 2011",7:00 PM
NYR,FLA,"DEC 11, 2011",7:30 PM
TBL,NJD,"DEC 12, 2011",7:00 PM
BOS,LAK,"DEC 13, 2011",7:00 PM
BUF,OTT,"DEC 13, 2011",7:00 PM
TOR,CAR,"DEC 13, 2011",7:00 PM
NYR,DAL,"DEC 13, 2011",7:00 PM
PIT,DET,"DEC 13, 2011",7:00 PM
WSH,PHI,"DEC 13, 2011",7:00 PM
CBJ,VAN,"DEC 13, 2011",7:00 PM
MON,NYI,"DEC 13, 2011",7:30 PM
FLA,NJD,"DEC 13, 2011",7:30 PM
NSH,CGY,"DEC 13, 2011",8:00 PM
WPG,MIN,"DEC 13, 2011",8:30 PM
COL,SJS,"DEC 13, 2011",9:00 PM
OTT,BOS,"DEC 14, 2011",7:30 PM
MIN,CHI,"DEC 14, 2011",7:30 PM
ANH,ARI,"DEC 14, 2011",10:00 PM
NYI,DAL,"DEC 15, 2011",7:00 PM
CAR,VAN,"DEC 15, 2011",7:00 PM
CBJ,LAK,"DEC 15, 2011",7:00 PM
MON,PHI,"DEC 15, 2011",7:30 PM
TBL,CGY,"DEC 15, 2011",7:30 PM
STL,NYR,"DEC 15, 2011",8:00 PM
NSH,DET,"DEC 15, 2011",8:00 PM
WPG,WSH,"DEC 15, 2011",8:30 PM
