DATE\TEAM,ANH,ARI,ATL,COL,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
1/5/2008,ARI-A,ANH-H,,NJD-H,,STL-A,SJS-A,LAK-A,,NYI-H,DET-H,DAL-A,NYR-H,PIT-A,CGY-H,NSH-A,WSH-H,BOS-A,MIN-H,COL-A,EDM-A,TBL-H,TOR-A,FLA-H,CBJ-H,CAR-H,OTT-A,PHI-H,,MON-A
1/6/2008,,,BUF-H,,ATL-A,,,,DET-H,,,CHI-A,,,,,,,,,,,,,,,,,,
1/7/2008,NSH-H,,,,,,,,,,MIN-H,,NYI-H,,,DAL-A,,,ANH-A,EDM-A,,,,,,,,,,
1/8/2008,,CGY-A,PHI-H,CAR-H,NJD-A,BOS-A,STL-A,ARI-H,MON-A,DET-A,,COL-H,,PIT-H,NSH-H,,CHI-H,BUF-H,LAK-A,VAN-A,TBL-H,,ATL-A,FLA-A,,CBJ-H,NYR-A,,NYI-H,
1/9/2008,TOR-H,,,,,,,,DAL-H,WSH-A,CHI-A,,,,,,,,,,,,,,,,,ANH-A,,COL-H
1/10/2008,,EDM-A,FLA-H,MON-H,OTT-A,NJD-H,,,,,STL-A,MIN-H,ARI-H,ATL-A,TOR-H,DET-A,BOS-A,CAR-A,,,PHI-H,BUF-H,NYR-A,TBL-A,VAN-H,DAL-H,PIT-H,LAK-A,SJS-A,
1/11/2008,,VAN-A,,,,,STL-H,NYI-H,MIN-H,,,,,,,CHI-A,,,,CGY-A,,,,,,CBJ-A,,,ARI-H,
1/12/2008,,,PIT-H,PHI-A,NJD-H,COL-H,NSH-H,,,CAR-A,LAK-A,OTT-A,,TBL-H,DAL-H,,NYR-A,BUF-A,CBJ-A,,MON-H,DET-H,BOS-H,ATL-A,TOR-H,,FLA-A,SJS-A,,
1/13/2008,SJS-H,MIN-A,,,,,,EDM-A,NSH-A,FLA-A,,,CGY-H,COL-H,,ARI-H,,,CHI-H,OTT-A,,NYI-H,WSH-A,,ANH-A,VAN-H,,,STL-A,PHI-H
1/14/2008,,,,,,,,,,,,,,,,,,,,,PIT-A,,,NYR-H,,,,,,
1/15/2008,DAL-H,SJS-H,DET-A,,,TOR-A,VAN-H,NSH-A,,TBL-A,ANH-A,ATL-H,LAK-H,,EDM-A,,NYI-A,,CGY-H,MON-H,,WSH-A,,,ARI-A,,COL-H,CAR-H,CBJ-A,OTT-H
1/16/2008,,,,,NYR-A,,,MIN-A,STL-H,,,,,PHI-A,,CGY-H,,NYI-H,,NJD-A,BUF-H,,FLA-H,,,CHI-A,,,,
1/17/2008,NSH-A,CBJ-H,MON-H,TOR-H,,OTT-A,ARI-A,,,,SJS-A,VAN-H,WSH-A,,,,ATL-A,,ANH-H,,,CAR-H,,,DAL-H,,,BOS-A,DET-A,EDM-H
1/18/2008,MIN-A,,BUF-A,,ATL-H,EDM-H,,LAK-H,COL-A,CHI-H,,,CAR-A,NJD-A,CGY-A,ANH-H,,FLA-H,,,,,,TBL-H,,,PIT-A,,,
1/19/2008,,CHI-H,,NYR-H,TOR-A,,DAL-A,,ARI-A,,CBJ-H,SJS-A,,WSH-A,VAN-A,,PIT-H,,STL-A,PHI-H,BOS-A,TBL-H,NYI-A,MON-A,DET-H,NSH-H,OTT-A,BUF-H,LAK-H,FLA-H
1/20/2008,DAL-A,,EDM-H,NYR-A,,,COL-A,,,CBJ-H,ANH-H,,ATL-A,,,,,TOR-H,,,BOS-H,PHI-A,OTT-H,,,,,NJD-A,,
1/21/2008,,BUF-H,,,ARI-A,NYI-A,,,,,,,,,,VAN-A,,,STL-H,CAR-H,,,,WSH-H,,NSH-A,,,MIN-H,PIT-A
1/22/2008,,,NYR-A,MON-A,,NYI-H,DAL-A,MIN-H,SJS-A,NSH-H,CBJ-H,LAK-A,TBL-A,OTT-H,DET-H,CGY-A,BOS-H,PHI-A,COL-A,CAR-A,ATL-H,FLA-A,NJD-H,,CHI-H,,EDM-H,,,
1/23/2008,DET-H,,,,,,,,,,,ANH-A,,,,,,,,,,,,,,VAN-A,,WSH-H,STL-H,TOR-A
1/24/2008,LAK-A,NSH-H,NYR-A,NYI-H,DAL-A,,CHI-A,,CBJ-H,MIN-H,BUF-H,,FLA-A,EDM-H,ANH-H,COL-A,NJD-A,MON-H,ARI-A,BOS-A,ATL-H,TBL-A,PIT-H,PHI-A,STL-H,SJS-A,OTT-H,WSH-A,,TOR-H
1/25/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2008,,CBJ-A,,NSH-H,TBL-A,NYR-H,ARI-H,,,,VAN-A,,SJS-H,,PHI-A,,WSH-H,PIT-H,BOS-A,OTT-H,CAR-A,NYI-A,LAK-H,NJD-A,EDM-A,TOR-A,BUF-H,STL-H,DAL-H,MON-A
1/30/2008,MIN-A,DET-A,PIT-H,,FLA-A,,,SJS-H,COL-A,CHI-H,,ARI-H,,BUF-H,,ANH-H,,,,,,,,ATL-A,CGY-A,,,,,
1/31/2008,,,,OTT-A,,TOR-H,NSH-A,,,,,,,,NYI-A,,WSH-A,,CBJ-H,LAK-H,PHI-A,BOS-H,NYR-H,,,,VAN-H,CAR-A,TBL-A,MON-H
2/1/2008,STL-A,,BUF-H,,ATL-A,,,,,DET-A,EDM-A,COL-H,DAL-H,VAN-H,,,,NYR-H,,,NJD-A,,,,,ANH-H,,,FLA-A,
2/2/2008,PHI-A,NSH-A,WSH-A,DET-H,,PIT-A,MIN-H,DAL-H,SJS-A,STL-A,CGY-A,BOS-A,,TBL-A,NJD-A,CBJ-A,NYI-H,LAK-H,ARI-H,MON-A,,TOR-A,ANH-H,CAR-H,CHI-H,COL-H,FLA-H,OTT-H,,ATL-H
