DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
2/24/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2006,,,,,,,,VAN-H,,MIN-H,,SJS-A,,TBL-A,,COL-A,NYI-A,,,MON-H,,,,,DET-H,,FLA-H,WSH-H,CGY-A,TOR-A
3/1/2006,DET-H,,BUF-A,CAR-A,ATL-H,BOS-H,,,NSH-H,,,ANH-A,STL-H,,,,,PHI-H,CHI-A,,,PIT-A,NJD-A,OTT-H,,EDM-A,,,,
3/2/2006,,DAL-H,BOS-A,ATL-H,,,COL-A,STL-H,,CBJ-H,ARI-A,,,MON-H,MIN-H,LAK-A,FLA-A,NYI-A,VAN-H,NJD-H,PHI-A,WSH-H,NYR-H,,,CGY-A,,,NSH-A,OTT-A
3/3/2006,MIN-H,,,,TOR-H,FLA-H,,,VAN-H,,,,SJS-H,CAR-A,,ANH-A,,,,,,,,,EDM-A,,,BUF-A,CHI-A,
3/4/2006,,DET-H,WSH-H,BUF-H,BOS-A,PIT-A,LAK-A,SJS-H,,DAL-A,COL-H,ARI-A,,,CBJ-H,,TBL-A,NYR-H,,PHI-H,NJD-A,TOR-A,NYI-A,CAR-H,CGY-A,,MON-H,OTT-H,,ATL-A
3/5/2006,CBJ-H,,,,,,ANH-A,,DAL-H,MIN-A,CHI-A,,NSH-H,,,COL-H,,,EDM-A,,,,,,,VAN-A,,,STL-H,
3/6/2006,,,FLA-H,,,NYR-A,,,,,,,,ATL-A,,,PHI-A,,,WSH-A,CAR-H,TBL-A,MON-H,,,,OTT-H,,,NYI-H
3/7/2006,SJS-H,DET-A,,BUF-A,BOS-H,,CHI-H,NSH-H,CBJ-A,STL-A,EDM-A,ARI-H,DAL-H,,MIN-A,LAK-H,TOR-A,NYI-A,CGY-A,NJD-H,,,,TBL-H,ANH-A,COL-H,PIT-A,MON-H,,
3/8/2006,,,NYR-H,,,PHI-A,,,,,,,,OTT-H,,,,,,,ATL-A,FLA-A,CAR-H,WSH-A,,,,,,PIT-H
3/9/2006,,CBJ-A,,MON-H,TBL-H,,ARI-H,DAL-H,COL-H,CHI-A,CGY-A,LAK-H,SJS-A,,DET-A,,BOS-A,,VAN-A,,,,,,EDM-H,,BUF-A,,NSH-H,
3/10/2006,,,OTT-H,,,FLA-A,,,,,,,,CAR-H,,STL-A,,WSH-A,,TOR-H,,ATL-A,,,,MIN-H,,NYI-A,,NJD-H
3/11/2006,ARI-A,ANH-H,,NYI-H,PHI-A,FLA-A,EDM-H,,DET-A,,VAN-A,CHI-H,CBJ-A,CAR-H,STL-A,,NYR-H,PIT-A,SJS-A,BOS-A,MON-A,,BUF-H,NJD-H,NSH-H,LAK-H,TOR-A,TBL-H,DAL-H,
3/12/2006,ARI-H,ANH-A,NYR-A,BUF-A,BOS-H,,,COL-A,DET-H,CGY-H,,CHI-A,MIN-A,,,EDM-H,,,,,ATL-H,WSH-A,PIT-A,PHI-H,,,,,,OTT-H
3/13/2006,,,,,,,STL-A,COL-H,,CGY-A,VAN-H,,,,SJS-A,,TBL-H,,,,,,,,LAK-H,CBJ-H,MON-A,,DAL-A,
3/14/2006,,LAK-A,,TOR-A,WSH-A,NYR-H,,,,,,,MIN-A,,ARI-H,EDM-H,,NYI-H,VAN-H,NJD-A,CAR-A,TBL-H,,,,,OTT-A,BOS-H,NSH-A,BUF-H
3/15/2006,DET-A,,,,,,CHI-A,,CBJ-H,,,ANH-H,,PHI-H,,,,,,,,,FLA-A,,,,,,,
3/16/2006,,NSH-A,NYI-H,OTT-H,TOR-H,MON-A,,EDM-A,,,LAK-A,,CGY-H,,DAL-H,,CAR-H,PIT-H,ARI-H,ATL-A,WSH-H,BOS-A,,NJD-A,STL-H,SJS-A,,BUF-A,,NYR-A
3/17/2006,CHI-A,,,,,,VAN-H,,ANH-H,,,,,NYI-H,,,,,,FLA-A,,,TBL-A,,,,PHI-H,,CBJ-A,
3/18/2006,,,PHI-H,CAR-H,OTT-A,BOS-A,,NSH-A,,,SJS-A,EDM-A,DET-H,WSH-A,STL-H,,PIT-H,,CGY-H,,TOR-H,BUF-H,ATL-A,MON-A,DAL-H,LAK-A,,NYR-A,,FLA-H
3/19/2006,CBJ-A,CHI-A,,,,,ANH-H,MIN-A,ARI-H,SJS-A,,VAN-A,,,,CGY-H,,OTT-H,,TBL-A,,NJD-A,,TOR-H,COL-H,,NYI-H,PIT-A,DET-H,
3/20/2006,DAL-A,,BUF-H,NYR-A,ATL-A,,,,,LAK-A,ANH-H,,,TBL-H,COL-H,,WSH-A,,STL-H,,BOS-H,,,,,NSH-A,FLA-A,,,MON-H
3/21/2006,,CBJ-A,BOS-A,ATL-H,,TOR-A,ARI-H,MIN-A,,,,NSH-H,VAN-H,,,CGY-H,NYI-A,PHI-A,DET-A,MON-H,,PIT-H,NJD-H,OTT-A,STL-A,SJS-H,,CAR-H,EDM-A,
3/22/2006,COL-H,,,,CAR-H,BUF-A,,,,ANH-A,MIN-H,,,WSH-H,,DAL-A,,,,,PHI-H,,NYR-A,,,,,,,FLA-A
3/23/2006,,CHI-H,NJD-H,,,,,STL-A,ARI-A,,,SJS-H,VAN-A,,,,TOR-H,ATL-A,,,,,,,DET-A,CGY-H,WSH-H,MON-A,EDM-H,TBL-A
3/24/2006,NSH-H,,,NJD-A,OTT-H,,CGY-H,CBJ-A,DAL-A,,CHI-H,,,NYR-H,,,,BOS-H,ANH-A,PIT-A,FLA-A,BUF-A,,NYI-H,,,,,,
3/25/2006,ARI-A,ANH-H,NYI-A,BUF-H,BOS-A,WSH-H,DET-A,,,STL-A,,CBJ-H,VAN-A,,NSH-H,SJS-H,TOR-H,,LAK-A,ATL-H,TBL-A,PHI-A,OTT-H,,MIN-A,COL-H,NYR-H,MON-A,EDM-H,CAR-A
3/26/2006,,,,,,,,DAL-A,SJS-H,EDM-H,CGY-H,,COL-A,,,,PIT-A,TOR-H,,,,,,MON-H,CHI-A,,,NJD-A,,
3/27/2006,,,,FLA-H,NYR-A,TBL-H,,,,,,STL-A,,BOS-A,VAN-A,,,,,,BUF-H,,,,,DET-H,CAR-A,,LAK-H,
3/28/2006,COL-A,NSH-H,,,,,SJS-H,,,ANH-H,,,MIN-H,,,EDM-A,NYI-H,OTT-A,ARI-A,MON-A,,NJD-H,TOR-H,,CBJ-A,,,PHI-A,,
3/29/2006,DAL-A,,,BUF-A,BOS-H,WSH-H,,LAK-H,STL-H,,ANH-H,,,PIT-A,CGY-A,VAN-A,,,,NYR-H,NYI-A,,,FLA-H,,CHI-A,,,MIN-H,CAR-A
3/30/2006,,SJS-A,TBL-A,,NJD-A,,,,,,,NSH-A,LAK-H,,EDM-A,,WSH-H,BUF-H,DET-H,,OTT-A,NYR-H,,,ARI-H,,ATL-H,,,MON-A
3/31/2006,DAL-H,,,,,FLA-H,STL-A,COL-H,DET-A,CGY-A,ANH-A,CHI-H,,CAR-A,,VAN-A,,,,PIT-H,,,,NYI-A,,CBJ-H,,,MIN-H,
4/1/2006,,SJS-A,CAR-H,MON-A,TOR-A,ATL-A,CHI-H,EDM-A,CBJ-A,,LAK-A,,CGY-H,TBL-H,DAL-H,,BOS-H,PHI-A,STL-H,,,WSH-H,NJD-H,,ARI-H,NSH-A,FLA-A,BUF-H,,OTT-A
4/2/2006,VAN-H,,,,,,,,,,,MIN-A,,,,DET-H,,PIT-A,,PHI-H,,,NYI-A,NJD-H,,,,,ANH-A,
4/3/2006,,EDM-A,OTT-A,,TOR-A,WSH-H,NSH-A,DET-H,COL-A,CHI-H,SJS-H,CGY-A,ARI-H,TBL-A,VAN-H,,,,CBJ-H,,,ATL-H,,,DAL-A,,FLA-H,BUF-H,LAK-A,CAR-A
4/4/2006,LAK-H,,,MON-A,,,,,,,,,,,ANH-A,STL-H,BOS-H,,,,PHI-H,,NYR-A,,,MIN-A,,,,
4/5/2006,,CGY-A,FLA-A,,OTT-H,WSH-A,,ARI-H,NSH-H,SJS-H,,,,ATL-H,,,,PIT-H,CHI-A,TOR-A,,BUF-A,,NJD-A,COL-A,,,NYI-H,,CAR-H
4/6/2006,DAL-H,,TBL-A,TOR-H,,,,,,,ANH-A,,MIN-A,,SJS-H,EDM-H,OTT-A,,STL-A,NYR-A,NYI-H,MON-H,,,LAK-A,NSH-H,ATL-H,BOS-A,,
4/7/2006,,,,,PHI-H,WSH-A,DET-A,MIN-H,EDM-H,,,CBJ-H,CHI-A,PIT-H,,CGY-A,,,,,,,BUF-A,FLA-A,,,,,,CAR-H
4/8/2006,LAK-A,DAL-H,CAR-H,NYR-H,OTT-A,ATL-A,DET-H,VAN-A,NSH-A,STL-H,ARI-A,CBJ-A,,,ANH-H,,NJD-H,MON-A,CHI-H,WSH-H,BOS-A,BUF-H,TOR-H,TBL-A,,COL-A,PIT-H,PHI-A,CGY-H,NYI-A
4/9/2006,,,,,,,,,,MIN-H,SJS-A,,STL-A,TBL-H,,COL-A,,NYR-H,,,NJD-A,,,,DAL-H,EDM-H,FLA-A,,,
4/10/2006,VAN-A,SJS-H,,WSH-H,,,,,,,,,,,,,OTT-H,,,,,MON-A,,,ARI-A,,,,ANH-H,BOS-A
4/11/2006,CGY-A,COL-A,TBL-A,OTT-A,,NJD-H,DAL-A,ANH-H,MIN-A,ARI-H,CBJ-H,EDM-H,DET-A,TOR-A,,CHI-H,,CAR-A,STL-A,NYR-A,NYI-H,BOS-H,PIT-H,PHI-A,,NSH-H,ATL-H,FLA-H,,
4/12/2006,,,,,MON-H,,,,,,,,,,,,BUF-A,,,,,,,,VAN-A,,,,SJS-H,
4/13/2006,EDM-A,LAK-H,WSH-H,MON-H,,,STL-H,COL-H,DET-H,CGY-A,,CHI-A,ANH-H,OTT-A,ARI-A,NSH-A,BOS-A,PHI-H,MIN-H,TOR-H,PIT-A,FLA-H,NJD-A,NYR-H,VAN-H,CBJ-A,,NYI-A,SJS-A,ATL-A
4/14/2006,,,,,,TBL-H,,,,,,,,,,,,,,,,,,,,,CAR-A,,,
4/15/2006,SJS-A,NSH-A,BOS-H,ATL-A,MON-A,TBL-A,CHI-H,LAK-A,CBJ-A,VAN-A,MIN-H,STL-A,,WSH-H,CGY-H,DAL-A,BUF-H,,ARI-H,PIT-H,PHI-A,TOR-A,NYR-H,NYI-A,ANH-H,DET-H,CAR-H,OTT-H,COL-H,FLA-A
4/16/2006,,STL-A,,,TOR-H,,CHI-A,,CBJ-H,,,,,,,,,PHI-H,,,,,NJD-A,,,ARI-H,,BUF-A,,
4/17/2006,CGY-H,,WSH-A,,,,,ANH-A,,EDM-A,DET-A,DAL-H,COL-H,,SJS-A,,,,,PIT-A,,,,NYI-H,LAK-H,,,,,ATL-H
4/18/2006,,,FLA-A,,CAR-A,BUF-H,DAL-H,,STL-H,,CBJ-A,NSH-A,,ATL-H,,,NJD-H,MON-A,DET-H,PHI-H,OTT-H,NYR-A,NYI-A,TOR-A,,CHI-A,WSH-H,PIT-H,,TBL-A
