DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
2/11/2010,,,,TBL-A,CAR-A,BUF-H,,DAL-H,,,CGY-A,SJS-H,LAK-A,VAN-H,EDM-H,,,,,,,WSH-H,,,DET-A,,BOS-H,,FLA-A,OTT-A
2/12/2010,,COL-A,MIN-A,,,,VAN-H,,,ARI-H,,,,,,ATL-H,PHI-A,NSH-H,NJD-A,,PIT-A,,MON-H,NYR-H,,TOR-H,,STL-A,CBJ-A,
2/13/2010,CGY-A,DAL-H,CHI-A,FLA-A,SJS-H,NJD-H,,ANH-H,ATL-H,LAK-A,ARI-A,OTT-H,,BOS-H,COL-H,,PHI-H,CAR-A,,TBL-H,,DET-A,MON-A,,BUF-A,WSH-H,NYI-A,,,STL-A
2/14/2010,EDM-A,,,,,,CHI-H,,CBJ-A,,,,ANH-H,,,VAN-H,,,PIT-A,OTT-H,TBL-H,NYI-A,,NSH-H,,,NYR-A,,MIN-A,
2/15/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2010,,,,,,,,,,DET-H,,COL-A,,,,,,,,,,,,,,,,,,
3/2/2010,,STL-H,FLA-H,MON-H,PIT-A,TOR-A,VAN-H,,NYI-A,,LAK-H,,NSH-A,ATL-A,DAL-A,,BOS-A,SJS-A,EDM-H,CHI-H,OTT-A,NYR-H,TBL-A,BUF-H,NJD-H,ARI-A,PHI-H,CAR-H,CBJ-A,
3/3/2010,COL-H,,,,WSH-H,,,MIN-H,EDM-H,ANH-A,,VAN-H,CHI-A,PHI-H,,CGY-A,,,,,,,FLA-A,,,,,,DET-A,BUF-A
3/4/2010,,COL-H,NYI-H,TOR-H,,OTT-H,,,,ARI-A,STL-H,,,,NSH-A,,SJS-A,,LAK-H,ATL-A,PIT-H,CAR-A,,NYR-A,MON-H,DAL-A,WSH-A,BOS-A,,TBL-H
3/5/2010,,,,,PHI-H,,,NJD-H,VAN-H,,,NSH-H,MIN-H,,,EDM-A,,CGY-A,DET-A,,,,BUF-A,,,,,,CHI-A,
3/6/2010,ARI-A,ANH-H,TBL-A,NYI-A,,FLA-A,SJS-A,,,STL-H,PIT-A,,,CAR-H,MON-H,,LAK-A,,,BOS-H,WSH-A,TOR-H,,DAL-H,CBJ-H,COL-A,ATL-H,OTT-A,,NYR-H
3/7/2010,MON-H,,CAR-H,PIT-A,NYR-A,ATL-A,,MIN-A,DET-H,,,CHI-A,NJD-H,,,CGY-H,ANH-A,EDM-A,VAN-H,,BUF-H,,TOR-H,BOS-H,,,,PHI-A,NSH-A,
3/8/2010,,,,,,,LAK-A,,,,WSH-A,,,,CBJ-H,,,,,,,,,,,,,,,DAL-H
3/9/2010,CBJ-H,,NSH-H,TOR-A,,,ANH-A,DET-A,,VAN-H,,CGY-H,OTT-H,MIN-A,,FLA-H,TBL-H,,ATL-A,PHI-A,,EDM-A,NYI-H,,,,MON-A,BOS-H,COL-A,
3/10/2010,,VAN-H,,,DAL-H,WSH-A,,,LAK-H,,BUF-A,,,,CHI-A,,,NYR-H,,,NJD-A,,,,,,,,ARI-A,CAR-H
3/11/2010,,,CBJ-A,PHI-A,,PIT-H,ATL-H,OTT-H,,FLA-H,,MIN-H,MON-A,COL-A,,DET-A,EDM-H,,SJS-A,STL-H,,CGY-A,BOS-H,CAR-A,NSH-H,NYI-A,TOR-A,TBL-H,,
3/12/2010,NSH-H,,NYR-H,,MIN-H,,,,,,LAK-H,,,,DAL-A,BUF-A,,PIT-H,ANH-A,,ATL-A,,,NJD-A,,,WSH-A,,,TBL-H
3/13/2010,,CAR-A,,MON-A,DET-A,ARI-H,STL-H,,PHI-A,,,BUF-H,TOR-A,SJS-A,,,BOS-H,NYI-A,,NJD-H,,VAN-A,CHI-H,,FLA-H,CBJ-A,,EDM-H,OTT-H,
3/14/2010,SJS-H,ATL-A,ARI-H,,,,,VAN-A,WSH-H,DAL-A,COL-H,,,,NSH-H,STL-H,,,LAK-A,TOR-H,PHI-H,,NYR-A,TBL-A,ANH-A,MIN-A,PIT-H,NYI-A,CGY-H,CHI-A
3/15/2010,,,,NJD-A,,,EDM-H,DET-H,,,,CGY-A,CBJ-A,,,,,BOS-H,,,,,,,,,,,,
3/16/2010,,TBL-A,BUF-H,CAR-A,ATL-A,BOS-H,,,,STL-A,SJS-H,,MIN-A,WSH-H,,EDM-H,NYR-A,,PHI-H,VAN-A,MON-H,TOR-H,NSH-A,,DAL-A,COL-H,ARI-H,OTT-A,NYI-H,FLA-A
3/17/2010,CHI-H,,,,,,,COL-A,ANH-A,CGY-H,,,,,,,,PIT-H,,,,,,NJD-A,,,,,,
3/18/2010,,FLA-A,OTT-H,PIT-H,TBL-A,WSH-H,,,LAK-A,,PHI-H,,,ARI-H,CHI-H,NSH-A,,TOR-A,MIN-H,,STL-H,ATL-A,DAL-A,BOS-A,VAN-A,NYR-A,BUF-H,NJD-H,SJS-H,CAR-A
3/19/2010,NYI-H,,,,,,MIN-H,SJS-H,,,,EDM-A,DET-H,,,CBJ-A,,,,ANH-A,,,,,CGY-A,,,,,
3/20/2010,,CHI-H,PHI-H,,FLA-A,PIT-A,NSH-A,,ARI-A,,OTT-H,VAN-A,,BUF-H,NYI-H,,TOR-A,STL-H,CBJ-H,LAK-A,,DAL-A,ATL-A,CAR-H,,NJD-A,WSH-H,MON-H,DET-H,TBL-A
3/21/2010,COL-H,DAL-A,PHI-A,NYR-H,CAR-A,BUF-H,,MIN-A,,ANH-A,ARI-H,,SJS-H,TBL-H,,CGY-H,,,STL-A,,BOS-A,,ATL-H,,EDM-A,NSH-H,FLA-A,,,
3/22/2010,,,,,,,,,,LAK-A,,PIT-H,,,COL-H,,OTT-H,,,,,MON-A,,DET-A,,,,,,
3/23/2010,CGY-A,CHI-A,BOS-H,ATL-A,,TBL-A,NJD-A,ANH-H,ARI-H,,NSH-A,,VAN-H,TOR-A,,SJS-H,,CBJ-H,DAL-H,,,PHI-H,OTT-A,,MIN-A,,CAR-H,FLA-H,EDM-A,
3/24/2010,VAN-A,,,,MON-H,,,,,LAK-H,,STL-H,,,COL-A,,BUF-A,,,NYR-A,NYI-H,,,WSH-A,,DET-A,,,ANH-H,PIT-H
3/25/2010,,NSH-A,TOR-H,TBL-H,,WSH-H,CHI-H,NYI-A,CBJ-A,,SJS-A,,,MON-A,STL-A,PHI-A,FLA-H,NYR-H,ARI-H,CGY-H,NJD-A,,MIN-H,,DAL-H,LAK-H,BOS-A,ATL-A,,CAR-A
3/26/2010,EDM-A,,,,OTT-H,,,,,,,MIN-H,ANH-H,,,DET-A,,,,,,BUF-A,,,,,,,,
3/27/2010,,COL-H,CAR-A,CGY-H,TBL-H,ATL-H,NYI-H,BOS-A,,ARI-A,LAK-A,NSH-A,,OTT-A,DAL-H,,NJD-H,MON-A,DET-H,CBJ-A,TOR-A,FLA-H,PIT-A,PHI-H,VAN-H,,BUF-A,NYR-H,SJS-A,
3/28/2010,,,,,,,CHI-A,WSH-A,CBJ-H,SJS-A,,,STL-A,,,,,PHI-A,,,,,NJD-H,TOR-H,COL-H,EDM-H,,PIT-A,,CGY-H
3/29/2010,DAL-H,,CAR-H,BUF-H,BOS-A,ATL-A,,,,,ANH-A,,,NSH-H,MIN-A,LAK-H,,,FLA-A,,,,,,,,,,,
3/30/2010,,VAN-A,TOR-A,NJD-A,,,TBL-H,,STL-A,,,EDM-H,DET-A,,NSH-A,,,BOS-H,LAK-H,NYR-H,NYI-A,WSH-A,,,,CHI-H,CBJ-A,ATL-H,ARI-H,OTT-H
3/31/2010,COL-A,CGY-A,,,FLA-H,MON-A,,ARI-H,MIN-A,ANH-H,SJS-H,,,BUF-A,,CHI-H,CAR-H,,,,,,,TBL-H,DAL-A,,PIT-A,,,
4/1/2010,,,WSH-A,FLA-H,TOR-A,OTT-A,DET-A,,,,,CBJ-H,,BOS-A,VAN-H,,,,STL-H,PHI-H,,CAR-H,NYI-A,,,NSH-A,,BUF-H,LAK-A,ATL-H
4/2/2010,VAN-H,,,,,,,COL-A,NJD-A,CGY-H,EDM-H,,DAL-A,,,SJS-H,PHI-A,CHI-H,,,TBL-A,,MON-H,,MIN-A,,NYR-H,,ANH-A,
4/3/2010,LAK-A,EDM-H,PIT-A,TOR-A,MON-A,NJD-H,WSH-H,,,,STL-A,NSH-H,ARI-A,NYR-H,ANH-H,,BUF-H,CAR-A,DET-A,OTT-H,FLA-A,NYI-A,,ATL-H,,DAL-H,,BOS-H,,CBJ-A
4/4/2010,,,,,,,,CHI-A,CGY-H,SJS-H,,PHI-A,,,,VAN-A,,,,,,,DET-H,,COL-A,,,,MIN-H,
4/5/2010,,,,WSH-A,,,STL-A,,,,,,MIN-H,,,EDM-A,,,,,,,,,,CBJ-H,,,,BOS-H
4/6/2010,LAK-H,,NJD-H,,NYR-H,TBL-A,,SJS-H,DAL-A,VAN-A,CHI-H,,,OTT-H,ANH-A,,NYI-A,ATL-A,,MON-H,BUF-A,FLA-A,TOR-A,WSH-H,CGY-A,,CAR-H,PHI-H,COL-H,PIT-A
4/7/2010,,NSH-H,,,,,DET-A,,STL-H,EDM-A,,CBJ-H,COL-H,,,,,,ARI-A,,TOR-H,,,,,CHI-A,,NYR-A,,
4/8/2010,DAL-A,LAK-A,,BUF-H,BOS-A,MON-H,,MIN-H,,,ANH-H,,,NJD-H,ARI-H,CGY-A,CAR-A,FLA-A,,PIT-A,,TBL-A,,NYI-H,VAN-H,,OTT-H,,SJS-A,
4/9/2010,STL-A,,WSH-A,,,,DET-H,,COL-A,CHI-H,,CBJ-A,,,,,,,,,PHI-H,,NYR-A,,,ANH-H,,,,ATL-H
4/10/2010,,SJS-A,PIT-H,CAR-H,OTT-A,BOS-A,,VAN-A,,,MIN-A,,LAK-A,TBL-A,EDM-H,DAL-H,TOR-H,NYI-H,STL-H,NJD-A,,BUF-H,,ATL-A,ARI-H,NSH-A,FLA-H,MON-A,CGY-H,
4/11/2010,EDM-H,,,WSH-A,NJD-A,,,,DET-H,LAK-H,,CHI-A,ANH-A,TBL-H,COL-A,,,BUF-H,,PIT-H,PHI-A,,NYR-H,NYI-A,,,FLA-A,,,BOS-H
