DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
2/21/2016,CGY-H,,,PIT-H,TBL-H,,ANH-A,MIN-A,VAN-A,,NYR-A,,,,CHI-H,,,,,DET-H,,,BUF-A,,,CAR-A,,COL-H,,
2/22/2016,,WSH-A,CBJ-H,,,BOS-A,,,,,,,,,,NSH-H,,MON-A,,,,,,STL-A,SJS-H,,,,,ARI-H
2/23/2016,,TBL-A,,,PHI-H,DET-A,LAK-A,,,WPG-A,CBJ-H,OTT-H,,CGY-H,NYI-H,,NYR-H,TOR-A,MIN-A,NJD-A,EDM-A,CAR-A,,,,ARI-H,NSH-H,,DAL-H,
2/24/2016,BUF-H,,PIT-H,ANH-A,,,,,SJS-H,,,,,,,WSH-A,,,,,,,BOS-A,COL-A,,,,,,MON-H
2/25/2016,,FLA-A,,,TOR-A,NJD-H,NYI-H,NSH-H,,WPG-H,,LAK-A,ARI-H,EDM-H,PHI-A,,CBJ-A,CHI-A,CGY-A,STL-A,VAN-A,MIN-H,,,NYR-H,,CAR-H,OTT-H,DAL-A,
2/26/2016,EDM-H,,CAR-A,SJS-A,BOS-H,,,,,,,ANH-A,,,WSH-A,,TBL-H,,,,,,,BUF-H,,NJD-A,,,,MIN-H
2/27/2016,,PHI-A,,LAK-A,,FLA-H,OTT-H,,DET-H,NYR-H,COL-A,,CBJ-A,BUF-H,,TOR-H,,STL-H,,DAL-A,CGY-A,ARI-H,WPG-H,,NSH-A,,MON-A,,PIT-A,
2/28/2016,LAK-H,,TBL-H,,STL-H,,,WSH-H,,,,NYI-H,MIN-A,ANH-A,FLA-H,,,,EDM-A,,,,,VAN-A,CAR-A,BOS-A,,SJS-H,,CHI-A
2/29/2016,,PIT-A,,,,NYR-A,PHI-A,,,DET-H,DAL-A,,,,,SJS-A,,,,CBJ-H,,CGY-H,ARI-H,MON-H,,TOR-A,TBL-H,,,
3/1/2016,,,CGY-H,EDM-H,NJD-A,,BOS-A,,MIN-A,NSH-A,,BUF-A,WPG-A,,COL-H,,CAR-H,DAL-H,VAN-A,,STL-H,,,,OTT-A,,,NYI-H,FLA-H,
3/2/2016,MON-H,,,,,,,DET-A,,,CHI-H,,,,,ANH-A,,,,,,,,,,,WSH-A,,,TOR-H
3/3/2016,ARI-A,ANH-H,CHI-H,CGY-H,,,BUF-A,BOS-A,FLA-H,,,PHI-A,COL-A,MON-H,TOR-A,LAK-A,NSH-A,NJD-H,WPG-A,PIT-A,TBL-H,EDM-H,NYR-H,VAN-A,,OTT-A,MIN-H,SJS-H,NYI-H,
3/4/2016,,,,,,EDM-H,,,,NJD-H,,CBJ-A,,,,,DAL-A,,,WSH-A,,,,,,,,,,NYR-H
3/5/2016,LAK-A,FLA-H,WSH-H,MIN-H,TBL-A,PHI-A,PIT-A,,NSH-H,,,,ARI-A,ANH-H,BUF-A,WPG-A,,COL-A,,,TOR-A,CBJ-H,CGY-H,VAN-H,,CAR-H,OTT-H,SJS-A,MON-H,BOS-A
3/6/2016,,,,,,,,DET-H,,OTT-A,CHI-A,WPG-A,,,STL-H,,PIT-H,,NYR-A,NYI-H,DAL-H,,NJD-A,,MIN-A,,,,EDM-H,
3/7/2016,WSH-H,COL-A,FLA-A,TOR-A,,,SJS-H,,ARI-H,,,,BOS-H,VAN-H,,,,,,,,TBL-H,,CGY-A,,PHI-A,BUF-H,LAK-A,,ANH-A
3/8/2016,,,TBL-A,NYR-H,OTT-H,DET-H,,,,MON-A,CBJ-A,SJS-H,,,,DAL-H,,WPG-A,PIT-H,BUF-A,CAR-A,,NYI-A,EDM-A,,BOS-H,,,NSH-H,
3/9/2016,COL-A,VAN-A,,,,,NSH-H,STL-A,ANH-H,,,,,WSH-H,,,,CGY-A,TOR-A,,,,,,CHI-H,,NYI-H,ARI-H,,LAK-A
3/10/2016,,,CAR-H,MON-A,BOS-A,,,,,,WPG-H,MIN-A,OTT-H,,EDM-H,BUF-H,SJS-A,,,,FLA-A,,,NJD-H,,,,,DET-A,
3/11/2016,STL-A,CGY-A,,,,PIT-H,ARI-H,DAL-A,,CHI-H,,,,,,,,,,,,TBL-A,CBJ-A,,ANH-H,PHI-H,,,,
3/12/2016,,EDM-A,NYI-H,CAR-H,BUF-A,,,,WPG-A,STL-H,NYR-H,ARI-H,PHI-H,NJD-H,MON-A,MIN-H,LAK-A,VAN-A,BOS-A,DET-A,TOR-H,FLA-A,,WSH-H,DAL-A,,OTT-A,NSH-H,COL-H,SJS-A
3/13/2016,,,,,,TBL-H,,,,,TOR-H,,,,,,,,,PIT-H,,,NYR-A,,,CBJ-A,DET-A,,,
3/14/2016,NJD-H,,,,,,STL-H,LAK-H,,,,NSH-H,NYI-A,CHI-A,,,ANH-A,EDM-A,FLA-H,,,,,,CGY-A,,,WPG-H,VAN-A,
3/15/2016,,,SJS-A,,WSH-A,,,,,LAK-H,PHI-A,,MON-A,DAL-A,OTT-A,FLA-H,,,PIT-A,,MIN-H,DET-H,NYI-H,BOS-H,,TOR-A,TBL-H,,,CAR-H
3/16/2016,NYR-H,,,MON-H,,,WPG-H,PHI-H,VAN-A,,,STL-H,,,,BUF-A,,,,ANH-A,,CHI-A,,,EDM-A,,,COL-H,CGY-A,
3/17/2016,,SJS-H,,,PIT-A,DET-H,,,,TBL-H,CBJ-A,,TOR-A,NYR-H,NJD-A,,MIN-H,NYI-H,NSH-A,LAK-A,,,CAR-H,ARI-A,,DAL-A,FLA-H,,,
3/18/2016,BOS-H,,ANH-A,OTT-H,,,COL-H,WPG-A,CGY-A,,,VAN-H,,,,,,WSH-A,,,BUF-A,,,,,,,EDM-A,CHI-H,NSH-H
3/19/2016,,TBL-H,LAK-A,TOR-A,MIN-A,NJD-H,,,,NYI-H,FLA-A,,DET-H,BOS-H,CAR-H,OTT-A,CBJ-A,,DAL-A,SJS-A,MON-H,PIT-H,PHI-A,NYR-H,VAN-A,ARI-A,BUF-H,STL-H,,
3/20/2016,WPG-A,SJS-A,,,,NJD-A,MON-A,MIN-H,EDM-A,,,COL-H,,,CHI-A,CGY-H,CBJ-H,,,,,,WSH-H,ARI-H,,,,,ANH-H,PIT-A
3/21/2016,,,,,,,TOR-A,,,,,,NYR-A,NSH-A,,,,LAK-H,PHI-H,FLA-H,,NYI-A,,,,,CGY-H,,,
3/22/2016,MON-A,EDM-H,,CAR-A,BUF-H,PHI-H,,DAL-H,,CHI-A,TBL-A,ARI-A,,MIN-A,LAK-H,ANH-H,,,,,WSH-H,CBJ-A,,STL-H,SJS-A,DET-H,,WPG-A,VAN-H,OTT-A
3/23/2016,,,NYR-A,,,,,,,,,,,,,,,,OTT-H,BOS-H,NYI-A,,,,,,,,,
3/24/2016,TOR-A,DAL-H,FLA-H,,CBJ-A,CAR-H,MIN-A,,PHI-H,ARI-A,MON-H,SJS-A,BOS-A,WPG-A,CGY-H,DET-A,PIT-A,VAN-H,,,,COL-A,NJD-H,EDM-H,,,ANH-H,NSH-A,LAK-H,
3/25/2016,,,,,,,,,,,,,,,,,WSH-H,,TBL-A,,,,,,VAN-H,NYI-H,,STL-A,,NJD-A
3/26/2016,OTT-A,PHI-H,TOR-A,WPG-H,NYI-H,NSH-A,CHI-H,CGY-A,MIN-H,SJS-A,PIT-H,LAK-A,TBL-A,EDM-H,COL-A,NYR-H,,CBJ-H,CAR-A,MON-A,ANH-H,ARI-A,DET-A,DAL-H,WSH-A,FLA-H,BOS-H,,BUF-A,STL-H
3/27/2016,,,,,NJD-H,,,VAN-A,,,,,,,,,CAR-A,,,PIT-H,,,NYR-A,,,,,CHI-H,,
3/28/2016,EDM-A,CGY-H,,DET-A,,WSH-A,ARI-A,,NSH-A,,BUF-H,ANH-H,,SJS-A,,,,COL-H,,,,WPG-H,,LAK-H,,TOR-H,TBL-A,,PHI-A,CBJ-H
3/29/2016,,,NJD-A,PIT-A,NYI-A,,,MIN-A,STL-A,NSH-H,MON-A,,TOR-H,,CHI-H,DET-H,BOS-H,DAL-A,CAR-H,,,,BUF-H,VAN-A,COL-H,,FLA-A,SJS-H,,
3/30/2016,CGY-H,,,,,,ANH-A,,,,,,,,,,,,,,WPG-A,WSH-H,,,,,,,OTT-H,PHI-A
3/31/2016,,DAL-A,,TOR-H,NYR-H,NYI-A,LAK-A,,,ARI-H,,,NJD-H,CGY-H,OTT-H,TBL-A,FLA-A,PIT-A,CBJ-H,CAR-A,MIN-A,,NSH-H,VAN-H,,MON-H,BUF-A,SJS-A,,
4/1/2016,VAN-H,,STL-A,,,,,WPG-A,WSH-H,,MIN-H,,,,DET-A,,,,,,,,,,BOS-H,,,ANH-A,CHI-H,COL-A
4/2/2016,,WSH-H,,NYR-A,CBJ-H,CAR-A,EDM-A,,,LAK-A,TOR-A,CGY-H,MON-H,DAL-H,,FLA-A,TBL-A,SJS-H,PIT-H,BUF-H,PHI-A,OTT-H,NYI-A,NSH-A,,NJD-H,DET-H,,,ARI-A
4/3/2016,DAL-H,,CHI-A,,,,,BOS-H,STL-H,ANH-A,,,,,WPG-A,,,,,,,PIT-A,PHI-H,,COL-A,,,,MIN-H,
4/4/2016,,STL-A,,,,NYR-H,,,,,,,TOR-A,VAN-A,,,,,TBL-H,CBJ-A,,,,,ARI-H,NYI-A,FLA-H,LAK-H,,
4/5/2016,WPG-H,CHI-A,CAR-H,NJD-A,BOS-A,,LAK-H,ARI-H,NSH-A,,,,MON-A,CGY-A,SJS-H,FLA-H,BUF-H,COL-H,WSH-A,TBL-H,PIT-H,,OTT-A,MIN-A,,NYR-A,,,ANH-A,NYI-H
4/6/2016,,,,,,TOR-A,,,,,PHI-H,VAN-H,,,,,,,,,,DET-A,,,,,CBJ-H,EDM-A,,
4/7/2016,LAK-A,NSH-A,DET-H,,MON-H,,VAN-H,STL-H,DAL-A,COL-H,BOS-A,,OTT-A,ANH-H,,CAR-A,TBL-H,ARI-H,NYR-A,NYI-H,FLA-H,TOR-H,WSH-A,WPG-H,CHI-A,NJD-A,PHI-A,CGY-A,SJS-A,PIT-H
4/8/2016,,,,CBJ-H,,BUF-A,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2016,COL-A,SJS-A,OTT-H,NYI-A,FLA-A,CHI-H,MIN-A,CBJ-A,ANH-H,NSH-H,NYR-A,VAN-A,CAR-H,WPG-H,CGY-H,TBL-H,TOR-H,DAL-A,BUF-H,DET-H,BOS-A,PIT-H,PHI-A,ARI-H,WSH-H,MON-A,NJD-A,EDM-H,LAK-A,STL-A
